,gene-symbol,GO_ID,GO_term,gene-score
0,ABAT,GO:0001666,response to hypoxia,2.0
1,ABAT,GO:0003867,4-aminobutyrate transaminase activity,2.0
2,ABAT,GO:0005739,mitochondrion,2.0
5,ABAT,GO:0005759,mitochondrial matrix,2.0
6,ABAT,GO:0007568,aging,2.0
7,ABAT,GO:0007620,copulation,2.0
8,ABAT,GO:0007626,locomotory behavior,2.0
9,ABAT,GO:0009410,response to xenobiotic stimulus,2.0
10,ABAT,GO:0009448,gamma-aminobutyric acid metabolic process,2.0
11,ABAT,GO:0009449,gamma-aminobutyric acid biosynthetic process,2.0
12,ABAT,GO:0009450,gamma-aminobutyric acid catabolic process,2.0
13,ABAT,GO:0010039,response to iron ion,2.0
14,ABAT,GO:0014053,negative regulation of gamma-aminobutyric acid secretion,2.0
15,ABAT,GO:0021549,cerebellum development,2.0
16,ABAT,GO:0030170,pyridoxal phosphate binding,2.0
18,ABAT,GO:0031652,positive regulation of heat generation,2.0
19,ABAT,GO:0032024,positive regulation of insulin secretion,2.0
20,ABAT,GO:0032144,4-aminobutyrate transaminase complex,2.0
21,ABAT,GO:0032145,succinate-semialdehyde dehydrogenase binding,2.0
22,ABAT,GO:0033602,negative regulation of dopamine secretion,2.0
23,ABAT,GO:0034386,4-aminobutyrate:2-oxoglutarate transaminase activity,2.0
24,ABAT,GO:0035094,response to nicotine,2.0
25,ABAT,GO:0035640,exploration behavior,2.0
26,ABAT,GO:0042135,neurotransmitter catabolic process,2.0
27,ABAT,GO:0042802,identical protein binding,2.0
28,ABAT,GO:0043005,neuron projection,2.0
29,ABAT,GO:0045471,response to ethanol,2.0
30,ABAT,GO:0045776,negative regulation of blood pressure,2.0
31,ABAT,GO:0045964,positive regulation of dopamine metabolic process,2.0
32,ABAT,GO:0046872,metal ion binding,2.0
33,ABAT,GO:0047298,(S)-3-amino-2-methylpropionate transaminase activity,2.0
34,ABAT,GO:0048148,behavioral response to cocaine,2.0
35,ABAT,GO:0051536,iron-sulfur cluster binding,2.0
36,ABAT,GO:0070474,positive regulation of uterine smooth muscle contraction,2.0
37,ABAT,GO:0090331,negative regulation of platelet aggregation,2.0
38,ABAT,GO:0097151,positive regulation of inhibitory postsynaptic potential,2.0
39,ABAT,GO:1902722,positive regulation of prolactin secretion,2.0
40,ABAT,GO:1904450,positive regulation of aspartate secretion,2.0
41,ABCA10,GO:0005319,lipid transporter activity,2.0
42,ABCA10,GO:0005524,ATP binding,2.0
43,ABCA10,GO:0006869,lipid transport,2.0
44,ABCA10,GO:0016020,membrane,2.0
45,ABCA10,GO:0042626,ATPase-coupled transmembrane transporter activity,2.0
46,ABCA10,GO:0043231,intracellular membrane-bounded organelle,2.0
47,ABCA10,GO:0055085,transmembrane transport,2.0
48,ABCA10,GO:0140359,ABC-type transporter activity,2.0
49,ABCA13,GO:0005319,lipid transporter activity,2.0
50,ABCA13,GO:0005524,ATP binding,2.0
51,ABCA13,GO:0005886,plasma membrane,2.0
52,ABCA13,GO:0006869,lipid transport,2.0
53,ABCA13,GO:0030667,secretory granule membrane,2.0
54,ABCA13,GO:0032376,positive regulation of cholesterol transport,2.0
55,ABCA13,GO:0035577,azurophil granule membrane,2.0
56,ABCA13,GO:0035627,ceramide transport,2.0
57,ABCA13,GO:0042626,ATPase-coupled transmembrane transporter activity,2.0
58,ABCA13,GO:0043231,intracellular membrane-bounded organelle,2.0
59,ABCA13,GO:0055085,transmembrane transport,2.0
60,ABCA13,GO:0097708,intracellular vesicle,2.0
61,ABCA13,GO:0140359,ABC-type transporter activity,2.0
62,ABCA13,GO:1900244,positive regulation of synaptic vesicle endocytosis,2.0
63,ABCA7,GO:0000139,Golgi membrane,2.0
64,ABCA7,GO:0001891,phagocytic cup,2.0
65,ABCA7,GO:0005319,lipid transporter activity,2.0
66,ABCA7,GO:0005524,ATP binding,2.0
67,ABCA7,GO:0005548,phospholipid transporter activity,2.0
68,ABCA7,GO:0005783,endoplasmic reticulum,2.0
69,ABCA7,GO:0005794,Golgi apparatus,2.0
70,ABCA7,GO:0005886,plasma membrane,2.0
72,ABCA7,GO:0006869,lipid transport,2.0
73,ABCA7,GO:0006909,phagocytosis,2.0
74,ABCA7,GO:0007613,memory,2.0
75,ABCA7,GO:0008542,visual learning,2.0
76,ABCA7,GO:0009986,cell surface,2.0
77,ABCA7,GO:0010875,positive regulation of cholesterol efflux,2.0
78,ABCA7,GO:0018149,peptide cross-linking,2.0
79,ABCA7,GO:0019216,regulation of lipid metabolic process,2.0
80,ABCA7,GO:0030054,cell junction,2.0
81,ABCA7,GO:0031901,early endosome membrane,2.0
82,ABCA7,GO:0032587,ruffle membrane,2.0
83,ABCA7,GO:0033344,cholesterol efflux,2.0
85,ABCA7,GO:0033700,phospholipid efflux,2.0
88,ABCA7,GO:0034188,apolipoprotein A-I receptor activity,2.0
90,ABCA7,GO:0034205,amyloid-beta formation,2.0
91,ABCA7,GO:0034380,high-density lipoprotein particle assembly,2.0
92,ABCA7,GO:0034504,protein localization to nucleus,2.0
93,ABCA7,GO:0038027,apolipoprotein A-I-mediated signaling pathway,2.0
94,ABCA7,GO:0042626,ATPase-coupled transmembrane transporter activity,2.0
95,ABCA7,GO:0042985,negative regulation of amyloid precursor protein biosynthetic process,2.0
96,ABCA7,GO:0043231,intracellular membrane-bounded organelle,2.0
97,ABCA7,GO:0043409,negative regulation of MAPK cascade,2.0
98,ABCA7,GO:0044857,plasma membrane raft organization,2.0
99,ABCA7,GO:0045332,phospholipid translocation,2.0
100,ABCA7,GO:0045806,negative regulation of endocytosis,2.0
101,ABCA7,GO:0050766,positive regulation of phagocytosis,2.0
102,ABCA7,GO:0055085,transmembrane transport,2.0
103,ABCA7,GO:0070374,positive regulation of ERK1 and ERK2 cascade,2.0
104,ABCA7,GO:0090554,phosphatidylcholine floppase activity,2.0
106,ABCA7,GO:0090556,phosphatidylserine floppase activity,2.0
108,ABCA7,GO:0097386,glial cell projection,2.0
109,ABCA7,GO:0140328,floppase activity,2.0
110,ABCA7,GO:0140359,ABC-type transporter activity,2.0
111,ABCA7,GO:0150094,amyloid-beta clearance by cellular catabolic process,2.0
112,ABCA7,GO:1900223,positive regulation of amyloid-beta clearance,2.0
113,ABCA7,GO:1901076,positive regulation of engulfment of apoptotic cell,2.0
114,ABCA7,GO:1902430,negative regulation of amyloid-beta formation,2.0
115,ABCA7,GO:1902991,regulation of amyloid precursor protein catabolic process,2.0
116,ABCA7,GO:1902995,positive regulation of phospholipid efflux,2.0
117,ABCA7,GO:1903898,negative regulation of PERK-mediated unfolded protein response,2.0
118,ABCA7,GO:2000010,positive regulation of protein localization to cell surface,2.0
152,ACE,GO:0001666,response to hypoxia,2.0
153,ACE,GO:0001822,kidney development,2.0
155,ACE,GO:0001974,blood vessel remodeling,2.0
156,ACE,GO:0002003,angiotensin maturation,2.0
159,ACE,GO:0002019,regulation of renal output by angiotensin,2.0
160,ACE,GO:0002446,neutrophil mediated immunity,2.0
161,ACE,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,2.0
162,ACE,GO:0003081,regulation of systemic arterial blood pressure by renin-angiotensin,2.0
165,ACE,GO:0003084,positive regulation of systemic arterial blood pressure,2.0
166,ACE,GO:0004175,endopeptidase activity,2.0
167,ACE,GO:0004180,carboxypeptidase activity,2.0
168,ACE,GO:0004222,metalloendopeptidase activity,2.0
169,ACE,GO:0005516,calmodulin binding,2.0
170,ACE,GO:0005576,extracellular region,2.0
171,ACE,GO:0005615,extracellular space,2.0
173,ACE,GO:0005764,lysosome,2.0
174,ACE,GO:0005768,endosome,2.0
175,ACE,GO:0005886,plasma membrane,2.0
178,ACE,GO:0006508,proteolysis,2.0
179,ACE,GO:0007283,spermatogenesis,2.0
180,ACE,GO:0007420,brain development,2.0
181,ACE,GO:0007565,female pregnancy,2.0
182,ACE,GO:0007568,aging,2.0
